Country Code  Light point per sqkm  Avg light prsqkm  light mean  PBI 2013  area_km2  Mean/area
FSM 0.000 0 6.078125  3.389046832 630.6045809 9.638567788
GAB 0.007 0.029656758 13.91962438 18.39762464 211857.2779 0.065702838
GBR 0.321 0.952468568 20.21940991 38.25515336 336987.4985 0.060000475
GEO 0.049 0.242878907 12.09566768 7.159824614 76219.0517  0.158696119
GGY 0.893 1.367598227 26.1328125  7.159824614 93.59473965 279.2124066
GHA 0.023 0.105163873 13.14274631 3.961366694 196112.9745 0.0670162
GIB 13.678  2.038157457 53.6875 3.961366694 7.85022764  6838.973653
GIN 0.002 0.010232488 12.25832931 1.23171447  202394.5695 0.060566493
GLP 0.531 1.387032827 22.57093081 1.23171447  1448.415611 15.58318665
GMB 0.020 3.733652681 14.37865497 1.64573313  8944.592028 1.607524963
GNB 0.002 0.005319283 13.99333333 1.364652913 28199.28853 0.496230014
GNQ 0.019 0.074937303 14.75015235 32.03933642 21898.30616 0.673575035
GRC 0.169 0.857207652 12.01607608 25.66671575 137149.9656 0.08761268
GRD 0.410 1.464663967 13.44135189 11.64589369 343.4234824 39.1392918
GRL 0.000 3.160790085 17.13711911 0 6612549.217 0.002591606
GTM 0.062 0.366249477 10.24809863 7.193428913 91904.56818 0.111508044
GUF 0.005 0.01919192  14.37872992 7.193428913 68101.57461 0.211136527
GUM 0.748 1.440969361 30.62643678 0 483.0081879 63.4076969
GUY 0.003 0.014281618 10.84229829 6.877633063 171829.2676 0.063099252
HKG 1.199 1.435476534 48.4314759  53.36670599 925.1283239 52.35108974
HMD 0.128 0.262958596 8.795774648 53.36670599 540.0089679 16.28820107
HND 0.045 4.212560633 11.08693235 4.427567531 94388.67108 0.117460414
HRV 0.215 0.974064121 13.26576368 21.35052253 64198.03241 0.206638166
HTI 0.024 0.133190476 10.23603083 1.683632996 23380.05016 0.437810473
HUN 0.138 0.676362366 12.23618333 23.33624644 110325.476  0.110909862
IDN 0.033 7.262220152 12.25814247 9.995032295 1536158.333 0.007979739
IMN 0.282 1.090324842 13.96791444 0 857.5425998 16.28830386
IND 0.122 0.698079823 10.51143193 5.301793938 2787768.583 0.003770554
IOT 0.456 0.795339979 11.47058824 0 85.49802825 134.1620207
IRL 0.184 2.69551281  10.75907508 45.677126 93681.6175  0.114847239
IRN 0.079 0.372610054 12.90061317 16.12814686 1561680.89  0.008260723
